datazone,retailer_count,total_population,simd_decile,simd_rank,simd_quintile,income_rank,health_rank,employment_rank,education_rank,access_rank,crime_rank,housing_rank,alcohol_admissions,drug_admissions,smoking_rate,urban_rural,retailers_adj,income_quintile,access_quintile,urban_rural_2cat
S01007850,17,733,1,556,1,644,863,689,113,3647,3265,2834,260,96,13.33,Large Urban,23.192360163710777,Most deprived,Third,Urban
S01007851,33,963,5,2808,3,2539,1732,2929,2676,5737,3538,3858,138,93,6.25,Large Urban,34.26791277258567,Second,Least deprived,Urban
S01007852,15,695,1,327,1,297,745,300,304,4135,851,2131,173,328,28.95,Large Urban,21.58273381294964,Most deprived,Third,Urban
S01007853,32,643,1,25,1,56,72,13,90,6858,289,981,453,728,30.3,Large Urban,49.76671850699845,Most deprived,Least deprived,Urban
S01007854,27,1097,1,334,1,310,430,267,760,6173,265,1451,273,388,32.65,Large Urban,24.612579762989977,Most deprived,Least deprived,Urban
S01007855,37,542,1,416,1,581,1195,180,824,5610,223,252,108,433,29.03,Large Urban,68.26568265682657,Most deprived,Least deprived,Urban
S01007856,20,923,4,2357,2,3172,2845,2494,934,4849,1114,2768,68,54,12.5,Large Urban,21.668472372697725,Third,Fourth,Urban
S01007857,10,505,2,818,1,707,1570,692,895,2257,2579,3049.5,17,61,8.33,Large Urban,19.8019801980198,Most deprived,Second,Urban
S01007858,42,1078,2,801,1,935,558,659,1453,2932,1155,3724,113,133,27.78,Large Urban,38.96103896103896,Most deprived,Third,Urban
S01007859,16,638,1,435,1,279,280,524,1511,2913,1799,1158,82,148,26.92,Large Urban,25.078369905956112,Most deprived,Third,Urban
S01007860,12,652,4,2365,2,2213,3026,2606,1637,2419,4066,3785,20,60,15.38,Large Urban,18.404907975460123,Second,Second,Urban
S01007861,19,650,2,1240,1,1658,1414,1657,233,3908,2242,930,71,226,30.77,Large Urban,29.23076923076923,Second,Third,Urban
S01007862,27,722,3,1485,2,1562,2212,1043,2126,2112,3014,1965,39,163,30.43,Large Urban,37.396121883656505,Second,Second,Urban
S01007863,14,911,1,276,1,271,629,414,250,1915,727,1006,80,504,51.72,Large Urban,15.367727771679473,Most deprived,Second,Urban
S01007864,22,933,3,1437,2,1482,1844,1057,2336,1953,3283,1290.5,112,109,29.55,Large Urban,23.579849946409432,Second,Second,Urban
S01007865,21,955,9,6021,5,6534,6839,6738,5896,1716,912,6748,5,0,2.78,Large Urban,21.98952879581152,Least deprived,Second,Urban
S01007866,9,537,8,5548,4,5594.5,5991,6033,4095,1360,6726,4421,7,0,0,Large Urban,16.75977653631285,Least deprived,Most deprived,Urban
S01007867,34,670,8,5133,4,5590.5,6612,6027.5,5138,782,1708,3456,0,0,0,Accessible Rural,50.74626865671642,Least deprived,Most deprived,Rural
S01007868,17,826,10,6565,5,6450,5932,6095,5928,3154,5648,6172,16,0,23.08,Large Urban,20.581113801452783,Least deprived,Third,Urban
S01007869,27,978,9,5802,5,5674,5149,6004,5980,2107,3125,6400,20,32,9.09,Large Urban,27.607361963190183,Least deprived,Second,Urban
S01007870,24,536,4,2234,2,3153,2135,2420,2051,716,3301,3340,55,0,30,Remote Rural,44.776119402985074,Third,Most deprived,Rural
S01007871,13,654,1,158,1,134,144,288,199,2997,869,2528,156,365,21.74,Remote Rural,19.877675840978593,Most deprived,Third,Rural
S01007872,13,638,1,40,1,30,43,83,196,5036,472,2476.5,155,228,41.67,Remote Rural,20.37617554858934,Most deprived,Fourth,Rural
S01007873,17,645,3,2053,2,1878.5,834,2344,2527,6575,1871,3237,117,183,38.46,Remote Rural,26.356589147286822,Second,Least deprived,Rural
S01007874,18,709,2,1237,1,1193,506,1146,1949,6550,1433,4329,76,162,7.14,Remote Rural,25.38787023977433,Most deprived,Least deprived,Rural
S01007875,15,550,3,2021,2,2574,1635,1922,2106,1092,5291,3187,88,59,3.33,Accessible Rural,27.27272727272727,Second,Most deprived,Rural
S01007876,23,1096,5,2802,3,3060,2553,3316,3136,668,5466,4263,73,27,5.56,Accessible Rural,20.985401459854018,Third,Most deprived,Rural
S01007877,22,701,2,1112,1,1425,277,1237,1992,2520,2215,3330,167,84,16.67,Accessible Rural,31.38373751783167,Second,Second,Rural
S01007878,12,690,2,1153,1,1593,1553,949,687,1821,3131.5,3519,163,101,37.5,Accessible Rural,17.391304347826086,Second,Second,Rural
S01007879,13,704,1,679,1,768,831,670,612,1771,2108,4689.5,83,47,26.92,Accessible Rural,18.465909090909093,Most deprived,Second,Rural
S01007880,30,396,6,3660,3,4055.5,4217,3826,4425,400,6928,4255,63,42,0,Accessible Rural,75.75757575757576,Third,Most deprived,Rural
S01007881,16,524,3,1490,2,1652,1543,1512,2433,546,4467,3965,95,115,38.46,Accessible Rural,30.534351145038165,Second,Most deprived,Rural
S01007882,52,742,7,4344,4,5257.5,5851,5547,5188,393,664,5813,9,0,0,Accessible Rural,70.08086253369272,Fourth,Most deprived,Rural
S01007883,35,1042,6,3726,3,3886,2817,3648,4771,1228,5789,4983,172,53,0,Accessible Rural,33.58925143953935,Third,Most deprived,Rural
S01007884,15,630,4,2469,2,3239,1206,3127,2552,2022,2356,2072,387,72,0,Accessible Rural,23.809523809523807,Third,Second,Rural
S01007885,32,690,1,229,1,204.5,111,240,837,2765,1814,1427,234,476,36,Accessible Rural,46.3768115942029,Most deprived,Second,Rural
S01007886,36,787,2,1258,1,1180,652,1326,2778,2328,1590,2927,278,262,11.76,Accessible Rural,45.7433290978399,Most deprived,Second,Rural
S01007887,54,583,7,4393,4,5010,4323,4946,4835,447,5383,4677,18,27,0,Accessible Rural,92.62435677530016,Fourth,Most deprived,Rural
